type;id;label;x;y
square;poly0;A;0;0
square;poly0;B;100;0
square;poly0;C;100;100
square;poly0;D;0;100
start;start_pt;Start;10;90
goal;goal_pt;Goal;90;10
vertex;poly1;E;15;70
vertex;poly1;F;10;60
vertex;poly1;G;20;55
vertex;poly1;H;35;65
vertex;poly1;I;40;80
vertex;poly1;J;30;80
vertex;poly2;K;75;85
vertex;poly2;L;80;80
vertex;poly2;M;90;80
vertex;poly2;N;95;85
vertex;poly2;O;90;90
vertex;poly2;P;80;90
vertex;poly3;Q;50;30
vertex;poly3;R;60;20
vertex;poly3;S;80;30
vertex;poly3;T;90;50
vertex;poly3;U;80;60
vertex;poly3;V;70;60
vertex;poly3;W;60;50
