timestamp; x / mm; y / mm; theta / rad; v / mm/s; omega rad/s
0.500; 100.000; 900.000; 0.000; 0.000; 0.000
1.000; 99.575; 900.134; -0.610; -0.633; -0.867
1.500; 99.719; 899.905; -1.410; 0.539; -1.594
2.000; 99.732; 899.690; -1.614; 0.431; -0.408
2.500; 99.732; 899.690; -1.614; 0.431; -0.408
3.000; 99.734; 899.727; -1.656; 0.000; 0.000
3.500; 99.734; 899.727; -1.656; 0.000; 0.000
4.000; 99.734; 899.727; -1.656; 0.000; 0.000
4.500; 92.594; 810.266; -1.645; 81.207; 0.010
5.000; 83.723; 687.326; -1.640; 154.511; 0.007
5.500; 79.518; 626.670; -1.640; 121.362; 0.001
6.000; 77.388; 598.605; -1.653; 56.031; -0.027
6.500; 76.817; 591.839; -1.657; 13.556; -0.007
7.000; 76.817; 591.839; -1.657; 13.556; -0.007
7.500; 76.706; 590.556; -1.656; 0.000; 0.000
8.000; 76.706; 590.556; -1.656; 0.000; 0.000
8.500; 76.706; 590.556; -1.656; 0.000; 0.000
9.000; 76.715; 590.534; -0.735; 0.021; 0.833
9.500; 76.574; 590.655; -0.681; -0.371; 0.109
10.000; 76.574; 590.655; -0.681; -0.371; 0.109
10.500; 76.728; 590.531; -0.675; 0.000; 0.000
11.000; 76.728; 590.531; -0.675; 0.000; 0.000
11.500; 76.728; 590.531; -0.675; 0.000; 0.000
12.000; 147.222; 534.568; -0.667; 81.480; 0.008
12.500; 195.213; 496.835; -0.666; 121.790; 0.002
13.000; 244.383; 458.280; -0.664; 124.620; 0.003
13.500; 292.475; 420.575; -0.666; 121.917; -0.003
14.000; 340.467; 382.947; -0.664; 121.813; 0.003
14.500; 388.573; 345.232; -0.666; 101.511; -0.002
15.000; 436.721; 307.470; -0.665; 122.048; 0.002
15.500; 485.873; 268.982; -0.664; 124.487; 0.001
16.000; 533.949; 231.395; -0.663; 121.908; 0.002
16.500; 533.949; 231.395; -0.663; 121.908; 0.002
17.000; 594.791; 183.281; -0.675; 77.400; -0.012
17.500; 598.665; 180.176; -0.676; 9.915; -0.001
18.000; 598.665; 180.176; -0.676; 9.915; -0.001
18.500; 599.221; 179.731; -0.675; 0.000; 0.000
19.000; 599.221; 179.731; -0.675; 0.000; 0.000
19.500; 599.316; 179.676; -0.384; 0.181; 0.482
20.000; 599.217; 179.710; -0.279; -0.209; 0.211
20.500; 599.217; 179.710; -0.279; -0.209; 0.211
21.000; 599.202; 179.714; -0.261; 0.000; 0.000
21.500; 599.202; 179.714; -0.261; 0.000; 0.000
22.000; 628.659; 171.955; -0.254; 50.560; 0.010
22.500; 687.220; 156.674; -0.256; 120.758; -0.003
23.000; 746.417; 141.176; -0.256; 122.157; 0.000
23.500; 805.507; 125.663; -0.257; 122.001; -0.003
24.000; 864.139; 110.465; -0.250; 121.044; 0.015
24.500; 892.298; 103.114; -0.261; 58.120; -0.022
25.000; 898.857; 101.359; -0.262; 13.537; -0.002
25.500; 900.166; 101.008; -0.261; 0.000; 0.000
26.000; 900.166; 101.008; -0.261; 0.000; 0.000
