timestamp; x / mm; y / mm; theta / rad; v / mm/s; omega rad/s
0.500; 100.000; 900.000; 0.000; 0.000; 0.000
1.000; 99.466; 900.167; -0.606; -0.924; -1.000
1.500; 99.681; 899.828; -1.405; 0.804; -1.601
2.000; 99.694; 899.628; -1.611; 0.399; -0.411
2.500; 99.697; 899.675; -1.656; 0.000; 0.000
3.000; 99.697; 899.675; -1.656; 0.000; 0.000
3.500; 97.346; 870.996; -1.649; 47.699; 0.011
4.000; 97.346; 870.996; -1.649; 47.699; 0.011
4.500; 88.138; 748.706; -1.643; 122.370; 0.007
5.000; 83.782; 687.755; -1.642; 121.880; 0.002
5.500; 79.583; 627.218; -1.638; 120.920; 0.006
6.000; 77.448; 598.752; -1.653; 57.004; -0.029
6.500; 76.864; 591.830; -1.657; 13.865; -0.008
7.000; 76.750; 590.499; -1.656; 0.000; 0.000
7.500; 76.750; 590.499; -1.656; 0.000; 0.000
8.000; 76.823; 590.211; -0.986; 0.422; 0.951
8.500; 76.640; 590.425; -0.737; -0.562; 0.498
9.000; 76.508; 590.537; -0.680; -0.346; 0.112
9.500; 76.629; 590.440; -0.676; 0.000; 0.000
10.000; 76.629; 590.440; -0.676; 0.000; 0.000
10.500; 98.375; 573.184; -0.666; 45.965; 0.017
11.000; 145.699; 536.092; -0.664; 99.954; 0.003
11.500; 194.890; 497.737; -0.661; 124.328; 0.006
12.000; 243.097; 460.303; -0.660; 121.893; 0.002
12.500; 291.317; 422.962; -0.658; 121.649; 0.003
13.000; 339.726; 385.791; -0.652; 121.746; 0.013
13.500; 389.299; 348.034; -0.650; 124.335; 0.003
14.000; 438.044; 311.020; -0.649; 122.183; 0.003
14.500; 438.044; 311.020; -0.649; 122.183; 0.003
15.000; 535.550; 237.163; -0.648; 122.058; 0.001
15.500; 581.394; 202.138; -0.657; 115.014; -0.018
16.000; 598.687; 188.589; -0.672; 43.812; -0.030
16.500; 602.604; 185.460; -0.676; 9.993; -0.007
17.000; 603.192; 184.989; -0.676; 0.000; 0.000
17.500; 603.192; 184.989; -0.676; 0.000; 0.000
18.000; 603.262; 184.948; -0.399; 0.134; 0.459
18.500; 603.262; 184.948; -0.399; 0.134; 0.459
19.000; 603.262; 184.948; -0.399; 0.134; 0.459
19.500; 603.178; 184.977; -0.280; 0.000; 0.000
20.000; 603.178; 184.977; -0.280; 0.000; 0.000
20.500; 632.356; 176.664; -0.275; 43.065; 0.008
21.000; 690.544; 160.375; -0.271; 120.653; 0.007
21.500; 749.261; 144.104; -0.270; 121.695; 0.003
22.000; 808.216; 127.871; -0.268; 121.707; 0.003
22.500; 808.216; 127.871; -0.268; 121.707; 0.003
23.000; 893.109; 104.136; -0.277; 87.747; -0.009
23.500; 899.369; 102.343; -0.280; 12.989; -0.006
24.000; 900.488; 102.021; -0.280; 0.000; 0.000
24.500; 900.488; 102.021; -0.280; 0.000; 0.000
