t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
0.0, 0, 0, 0.0, 0.0, 0.0
0.1, 0, 0, 0.0, 0.0, 0.0
0.2, 0, 0, -0.0008628905265147294, 62.507999999999996, 0.0
0.3, 5, 0, -0.0008628905265147294, 62.507999999999996, 0.0
0.4, 11, 0, -0.003739192281563827, 62.507999999999996, 0.00019175345033660654
0.5, 17, 0, -0.004506206082910254, 62.507999999999996, 0.00019175345033660654
0.6, 23, 0, -0.002492794854375885, 62.507999999999996, 9.587672516830327e-05
0.7, 29, 0, -0.0021092879537026716, 62.507999999999996, 9.587672516830327e-05
0.8, 35, 0, -0.0016299043278611557, 62.507999999999996, 9.587672516830327e-05
0.9, 41, 0, -0.0013422741523562457, 62.507999999999996, 0.0
1.0, 47, 0, -0.0010546439768513358, 62.507999999999996, 0.0
1.1, 54, 0, -0.0015340276026928523, 62.507999999999996, 9.587672516830327e-05
1.2, 60, 0, -0.0008628905265147294, 62.507999999999996, 0.0
1.3, 66, 0, -0.0012463974271879426, 62.507999999999996, 0.0
1.4, 72, 0, -0.0006711370761781229, 62.507999999999996, 0.0
1.6, 85, 0, -0.0004793836258415163, 62.507999999999996, 0.0
1.7, 91, 0, -0.0007670138013464262, 62.507999999999996, 0.0
1.8, 97, 0, -9.587672516830327e-05, 62.507999999999996, 0.0
1.9, 103, 0, -0.0006711370761781229, 62.507999999999996, 0.0
2.0, 110, 0, -0.0006711370761781229, 62.507999999999996, 0.0
2.1, 116, 0, -0.0011505207020196392, 62.507999999999996, 0.0
2.2, 122, 0, -0.0004793836258415163, 62.507999999999996, 0.0
2.3, 128, 0, -0.00019175345033660654, 62.507999999999996, 0.0
2.4, 134, 0, -0.0006711370761781229, 62.507999999999996, 0.0
2.5, 141, 0, -0.0004793836258415163, 62.507999999999996, 0.0
2.6, 147, 0, -0.0007670138013464262, 62.507999999999996, 0.0
2.7, 153, 0, -0.0010546439768513358, 62.507999999999996, 0.0
2.8, 159, 0, -0.0005752603510098196, 62.507999999999996, 0.0
2.9, 165, 0, -0.0011505207020196392, 62.507999999999996, 0.0
3.0, 172, 0, -0.0012463974271879426, 62.507999999999996, 0.0
3.1, 178, 0, -0.0008628905265147294, 62.507999999999996, 0.0
3.2, 184, 0, -0.0006711370761781229, 62.507999999999996, 0.0
3.3, 190, 0, -0.0003835069006732131, 62.507999999999996, 0.0
3.4, 197, 0, 9.587672516830327e-05, 62.507999999999996, 0.0
3.5, 203, 0, -0.0002876301755049098, 62.507999999999996, 0.0
3.6, 209, 0, -0.0004793836258415163, 62.507999999999996, 0.0
3.7, 215, 0, -0.00019175345033660654, 62.507999999999996, 0.0
3.8, 222, 0, -0.0009587672516830326, 62.507999999999996, 0.0
3.9, 228, 0, -0.0010546439768513358, 62.507999999999996, 0.0
4.0, 234, 0, -0.0005752603510098196, 62.507999999999996, 0.0
4.1, 240, 0, -0.0005752603510098196, 62.507999999999996, 0.0
4.2, 246, 0, -0.0005752603510098196, 62.507999999999996, 0.0
4.3, 253, 0, -0.0007670138013464262, 62.507999999999996, 0.0
4.4, 259, 0, -0.0007670138013464262, 62.507999999999996, 0.0
4.5, 265, 0, -0.0006711370761781229, 62.507999999999996, 0.0
4.6, 271, 0, -0.0009587672516830326, 62.507999999999996, 0.0
4.7, 278, 0, -0.0010546439768513358, 54.6945, 0.0
4.8, 283, 0, -0.0013422741523562457, 42.192899999999995, 0.0
4.9, 287, 0, -0.0011505207020196392, 32.19162, 0.0
5.0, 290, 0, -0.0007670138013464262, 24.690659999999998, 0.0
5.1, 293, 0, -0.0002876301755049098, 17.1897, 0.0
5.2, 295, 0, 0.0010546439768513358, 12.18906, 0.0
5.3, 295, 0, 0.0005752603510098196, 12.18906, 0.0
5.4, 295, 0, 0.03988471767001416, 62.507999999999996, 0.09319217686359078
5.5, 295, 0, 0.25800426742790405, 62.507999999999996, 0.0795776818896917
5.6, 295, 0, 0.5526334438701, 62.507999999999996, 0.06116935065737748
5.7, 295, 0, 0.8349903994907532, 62.507999999999996, 0.04352803322640968
5.8, 297, 3, 1.072668801182977, 62.507999999999996, 0.02962590807700571
5.9, 299, 8, 1.2535881815755654, 62.507999999999996, 0.019271221758828956
6.0, 301, 13, 1.3809124725990718, 62.507999999999996, 0.012272220821542819
6.1, 301, 19, 1.4668180183498718, 62.507999999999996, 0.0069031242121178355
6.2, 302, 24, 1.51945434046727, 62.507999999999996, 0.00412269918223704
6.3, 302, 30, 1.548792618368771, 62.507999999999996, 0.0023010414040392784
6.4, 302, 37, 1.570269004806471, 62.507999999999996, 0.0009587672516830326
6.5, 302, 43, 1.5777473893695986, 62.507999999999996, 0.0004793836258415163
6.6, 302, 49, 1.5809113213001527, 62.507999999999996, 0.0002876301755049098
6.7, 302, 55, 1.584171129955875, 62.507999999999996, 9.587672516830327e-05
6.8, 302, 61, 1.585801034283736, 62.507999999999996, 0.0
6.9, 302, 68, 1.5859927877340725, 62.507999999999996, 0.0
7.0, 302, 74, 1.5863762946347457, 62.507999999999996, 0.0
