type;id;label;x;y
square;poly0;A;0;0
square;poly0;B;500;0
square;poly0;C;500;500
square;poly0;D;0;500
start;start_pt;Start;50;450
goal;goal_pt;Goal;450;50
vertex;poly1;E;75;350
vertex;poly1;F;50;300
vertex;poly1;G;100;275
vertex;poly1;H;175;325
vertex;poly1;I;200;400
vertex;poly1;J;150;400
vertex;poly2;K;375;425
vertex;poly2;L;400;400
vertex;poly2;M;450;400
vertex;poly2;N;475;425
vertex;poly2;O;450;450
vertex;poly2;P;400;450
vertex;poly3;Q;250;150
vertex;poly3;R;300;100
vertex;poly3;S;400;150
vertex;poly3;T;450;250
vertex;poly3;U;400;300
vertex;poly3;V;350;300
vertex;poly3;W;300;250
