t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
0.0, 1092, 105, 1.325879232352466, 62.507999999999996, 0.03988471767001416
0.02, 1092, 105, 1.325879232352466, 62.507999999999996, 0.03988471767001416
0.03, 1092, 105, 1.3277008901306635, 62.507999999999996, 0.03978884094484585
0.04, 1092, 105, 1.3315359591373956, 62.507999999999996, 0.03969296421967755
0.05, 1092, 105, 1.3383432066243452, 62.507999999999996, 0.039405334044172645
0.06, 1092, 105, 1.3478350024160073, 62.507999999999996, 0.03902182714349943
0.07, 1092, 105, 1.3596278396117087, 62.507999999999996, 0.03844656679248961
0.08, 1092, 105, 1.373050581135271, 62.507999999999996, 0.0379671831666481
0.09, 1092, 105, 1.3876238433608532, 62.507999999999996, 0.03729604609046997
0.1, 1092, 105, 1.4027723659374451, 62.507999999999996, 0.036720785739460145
0.11, 1092, 105, 1.4184002721398785, 62.507999999999996, 0.03604964866328203
0.12, 1092, 105, 1.434028178342312, 62.507999999999996, 0.03537851158710391
0.13, 1092, 106, 1.4494643310944089, 62.507999999999996, 0.0351867581367673
0.14, 1092, 106, 1.4652839907471789, 62.507999999999996, 0.034515621060589176
0.15, 1092, 106, 1.4809118969496122, 62.507999999999996, 0.033940360709579356
0.16, 1092, 106, 1.497019186777887, 62.507999999999996, 0.033269223633401235
0.18, 1092, 107, 1.5303842871364568, 62.507999999999996, 0.0323104563817182
0.19, 1092, 107, 1.5475462209415831, 62.507999999999996, 0.031543442580371776
0.2, 1092, 108, 1.5651875383725506, 62.507999999999996, 0.032885716732728026
0.22, 1092, 109, 1.6005660499596546, 62.507999999999996, 0.03135168913003517
0.23, 1092, 109, 1.6182073673906225, 62.507999999999996, 0.030680552053857044
0.24, 1092, 110, 1.6362321917222638, 62.507999999999996, 0.029913538252510617
0.25, 1092, 110, 1.6532982488022214, 62.507999999999996, 0.0292424011763325
0.26, 1092, 110, 1.6704601826073477, 62.507999999999996, 0.02847538737498607
0.28, 1092, 111, 1.7046881734924322, 62.507999999999996, 0.02703723649746152
0.29, 1092, 112, 1.7213707236717168, 62.507999999999996, 0.026366099421283398
0.31, 1092, 113, 1.7554069611064644, 62.507999999999996, 0.02492794854375885
0.32, 1092, 113, 1.771418374209571, 62.507999999999996, 0.024256811467580727
0.33, 1092, 114, 1.7877174174881827, 62.507999999999996, 0.023585674391402602
0.35, 1092, 115, 1.8193567367937227, 62.507999999999996, 0.02224340023904636
0.36, 1092, 115, 1.8349846429961563, 62.507999999999996, 0.021668139888036536
0.39, 1091, 117, 1.8799508271000904, 62.507999999999996, 0.01975060538467047
0.4, 1091, 117, 1.8935653220739896, 62.507999999999996, 0.019175345033660654
0.41, 1091, 118, 1.9066045566968786, 62.507999999999996, 0.018600084682650835
0.42, 1091, 118, 1.9200272982204412, 62.507999999999996, 0.018120701056809317
